"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"s:\ProjectFiles\React\project-battle-lobby\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 14, 165
"s:\ProjectFiles\React\project-battle-lobby\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 16, 141
"s:\ProjectFiles\React\project-battle-lobby\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"s:\ProjectFiles\React\project-battle-lobby\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"s:\ProjectFiles\React\project-battle-lobby\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 11, 121
"s:\ProjectFiles\React\project-battle-lobby\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 8, 56
"s:\ProjectFiles\React\project-battle-lobby\components\ui\ticket-chip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"s:\ProjectFiles\React\project-battle-lobby\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"s:\ProjectFiles\React\project-battle-lobby\environments.d.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\CreateLobby.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\EditProfile.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\FetchLobbies.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\FetchLobbyWithID.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\JoinLobby.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 67
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\LoginAuth.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\ModifyLobby.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"s:\ProjectFiles\React\project-battle-lobby\lib\actions\SignUpAuth.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"s:\ProjectFiles\React\project-battle-lobby\lib\constants.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"s:\ProjectFiles\React\project-battle-lobby\lib\mongoDB\database.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"s:\ProjectFiles\React\project-battle-lobby\lib\mongoDB\dbmodels.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 60
"s:\ProjectFiles\React\project-battle-lobby\lib\types.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"s:\ProjectFiles\React\project-battle-lobby\lib\utils.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
